application,percentage
http,58.6781566825
unknown,19.5416686881
https,7.41975276075
smtp,1.4777545913
domain,1.39484429542
lansource,0.77179889889
macromedia-fcs,0.714615942858
valisys-lm,0.62465407675
UDP,0.60866006108
ftp-data,0.463041019794
ICMP,0.39218878292
esl-lm,0.39115228832
microsoft-ds,0.356808359024
http-alt,0.346261236946
ESP,0.3206577994
ssh,0.31801071737
audit,0.238087582054
rtsp,0.156552935332
oms,0.149865325851
GRE,0.130349095581
ntp,0.127520170496
syslog,0.119682242952
pop3,0.0990143777893
xbox,0.0975040284629
sunproxyadmin,0.0939844976095
ms-sql-s,0.075849112691
ftp,0.0704882729578
ENCAP,0.0675512319109
vrml-multi-use,0.0582179067295
confluent,0.0536752799881
ipsec-nat-t,0.0490932145017
afs3-callback,0.0437975771339
cvd,0.041233194325
pop3s,0.0398836977434
irdmi,0.0383971885243
plethora,0.0379448398505
foliocorp,0.0362998443385
avsecuremgmt,0.0338338940587
gnutella-svc,0.0326413795723
autodesk-nlm,0.0313761872613
rfa,0.0305193205595
stun-behavior,0.029999952406
vmware-fdm,0.0295960211119
blizwow,0.0285352717487
rsync,0.0279530010306
imap,0.0248513737929
recipe,0.0247011468328
openvpn,0.024410771674
ms-wbt-server,0.0228270645428
x11,0.0224522662872
imaps,0.0208415364018
hydap,0.0201205149756
ms-sql-m,0.0190920526339
data-port,0.0190483400641
epmap,0.0189929182357
trivnet1,0.0180342244981
irisa,0.0177203851558
bgp,0.0175403554726
ndmp,0.0172933684578
msnp,0.0159503314237
socks,0.014784033499
conductor-mpx,0.0146391832877
ms-streaming,0.0146078674243
afs3-vlserver,0.0136739090184
3com-njack-2,0.0133215312012
netbios-ssn,0.0133139534643
dtspcd,0.0124606999253
ddi-udp-1,0.0124509750391
senomix02,0.0124110571295
kar2ouche,0.0123773371896
commplex-link,0.0121040529132
arcp,0.0120210575368
hpvirtgrp,0.0118247301597
cslistener,0.0118215014964
xmsg,0.0116398454581
telnet,0.0116132751794
snmp,0.0115322089444
asam,0.0112346802672
Compaq-Peer,0.0104192372163
udt_os,0.0100768560812
cbt,0.00983929693138
swx,0.00983734068344
trisoap,0.00977570405931
isakmp,0.00969869518493
commplex-main,0.0095839569427
obrpd,0.00947596767823
ndl-aas,0.00943142392093
sip,0.00934411795834
dec-notes,0.0093174457221
IPv6,0.00921488049072
telnets,0.00909529412471
terabase,0.00898208383226
etlservicemgr,0.00859927608128
submission,0.00859799370738
teredo,0.00831668635499
blackjack,0.00830671895253
afs3-bos,0.00824497404113
914c/g,0.00816000009156
syscomlan,0.00809349690324
nntp,0.00799583594095
