feature,model,MAE,model_selected
https,ARIMA_1_0_0,54.4108867963,0
https,ARIMA_2_0_0,52.6796062001,0
https,ARIMA_3_0_0,45.3520307649,1
https,ARIMA_0_0_1,92.5560866815,0
https,ARMA_3_0,45.3520307649,0
https,ARMA_2_0,52.6796062001,0
https,ARMA_1_0,54.4108867963,0
macromedia-fcs,ARIMA_1_0_0,134.039605034,0
macromedia-fcs,ARIMA_2_0_0,123.959825171,0
macromedia-fcs,ARIMA_3_0_0,113.789698061,0
macromedia-fcs,ARIMA_3_0_2,109.173965203,0
macromedia-fcs,ARIMA_2_0_2,107.801681283,0
macromedia-fcs,ARIMA_0_0_1,160.299164983,0
macromedia-fcs,ARIMA_3_0_3,105.010677501,1
macromedia-fcs,ARIMA_1_0_6,127.313968649,0
macromedia-fcs,ARMA_3_0,113.789698061,0
macromedia-fcs,ARMA_2_0,123.959825171,0
macromedia-fcs,ARMA_1_0,134.039605034,0
macromedia-fcs,ARMA_2_1,108.564497943,0
unknown,ARIMA_1_0_0,22.2571603498,0
unknown,ARIMA_2_0_0,20.0367441129,0
unknown,ARIMA_3_0_0,20.07688221,0
unknown,ARIMA_3_0_2,19.9845369515,0
unknown,ARIMA_2_0_2,20.0617813376,0
unknown,ARIMA_0_0_1,27.3705092604,0
unknown,ARIMA_3_0_3,19.1433636575,1
unknown,ARIMA_1_0_6,19.5007103597,0
unknown,ARIMA_1_0_3,24.2879362241,0
unknown,ARMA_3_0,20.07688221,0
unknown,ARMA_2_0,20.0367441129,0
unknown,ARMA_1_0,22.2571603498,0
unknown,ARMA_2_1,20.0816908044,0
unknown,ARMA_2_3,20.0825068637,0
domain,ARIMA_1_0_0,48.8103882388,0
domain,ARIMA_2_0_0,42.5306625391,0
domain,ARIMA_3_0_0,40.0421207364,0
domain,ARIMA_3_0_2,39.8960791817,0
domain,ARIMA_2_0_2,39.7939467467,0
domain,ARIMA_0_0_1,56.1836282551,0
domain,ARIMA_3_0_3,38.036317494,1
domain,ARIMA_1_0_3,39.7702829029,0
domain,ARMA_3_0,40.0421207364,0
domain,ARMA_2_0,42.5306625391,0
domain,ARMA_1_0,48.8103882388,0
domain,ARMA_2_1,39.8453765569,0
domain,ARMA_2_3,38.9338521149,0
lansource,ARIMA_1_0_0,inf,1
lansource,ARIMA_2_0_0,inf,0
lansource,ARIMA_3_0_0,inf,0
lansource,ARIMA_3_0_2,inf,0
lansource,ARIMA_2_0_2,inf,0
lansource,ARIMA_0_0_1,inf,0
lansource,ARIMA_3_0_3,inf,0
lansource,ARMA_3_0,inf,0
lansource,ARMA_2_0,inf,0
lansource,ARMA_1_0,inf,0
lansource,ARMA_2_1,inf,0
http,ARIMA_1_0_0,13.5174961118,0
http,ARIMA_2_0_0,12.9246793669,0
http,ARIMA_3_0_0,12.4530050359,0
http,ARIMA_3_0_2,12.389924412,0
http,ARIMA_2_0_2,12.6079267972,0
http,ARIMA_0_0_1,14.6614383032,0
http,ARIMA_1_0_6,12.4029844945,0
http,ARIMA_1_0_3,12.3182636605,1
http,ARMA_3_0,12.4530050359,0
http,ARMA_2_0,12.9246793669,0
http,ARMA_1_0,13.5174961118,0
http,ARMA_2_1,12.7340258444,0
http,ARMA_2_3,12.4440533639,0
smtp,ARIMA_1_0_0,156.946166633,0
smtp,ARIMA_2_0_0,143.518260464,0
smtp,ARIMA_3_0_0,145.320312787,0
smtp,ARIMA_3_0_2,143.108967047,0
smtp,ARIMA_2_0_2,144.450406716,0
smtp,ARIMA_0_0_1,262.26178583,0
smtp,ARIMA_3_0_3,139.283878169,1
smtp,ARIMA_1_0_6,147.653351943,0
smtp,ARMA_3_0,145.320312787,0
smtp,ARMA_2_0,143.518260464,0
smtp,ARMA_1_0,156.946166633,0
smtp,ARMA_2_1,144.822273651,0
smtp,ARMA_2_3,141.360096755,0
valisys-lm,ARIMA_1_0_0,inf,1
valisys-lm,ARIMA_2_0_0,inf,0
valisys-lm,ARIMA_3_0_0,inf,0
valisys-lm,ARIMA_0_0_1,inf,0
valisys-lm,ARMA_3_0,inf,0
valisys-lm,ARMA_2_0,inf,0
valisys-lm,ARMA_1_0,inf,0
valisys-lm,ARMA_2_3,inf,0
UDP,ARIMA_1_0_0,180.969575203,0
UDP,ARIMA_2_0_0,180.174022585,0
UDP,ARIMA_3_0_0,181.349015047,0
UDP,ARIMA_2_0_2,160.451409443,1
UDP,ARIMA_0_0_1,211.226307525,0
UDP,ARIMA_3_0_3,168.99223414,0
UDP,ARIMA_1_0_3,187.00370745,0
UDP,ARMA_3_0,181.349015047,0
UDP,ARMA_2_0,180.174022585,0
UDP,ARMA_1_0,180.969575203,0
UDP,ARMA_2_1,164.541571003,0
UDP,ARMA_2_3,188.54960493,0
