feature,model,MAE,model_selected
0-100,ARIMA_1_0_0,17.3634427024,0
0-100,ARIMA_2_0_0,17.2740435062,0
0-100,ARIMA_3_0_0,17.2320070185,0
0-100,ARIMA_3_0_2,17.2506814996,0
0-100,ARIMA_2_0_2,17.2489611655,0
0-100,ARIMA_0_0_1,17.98931773,0
0-100,ARIMA_3_0_3,17.1025586896,0
0-100,ARIMA_1_0_6,16.8082087682,1
0-100,ARIMA_1_0_3,17.2296994424,0
0-100,ARMA_3_0,17.2320070185,0
0-100,ARMA_2_0,17.2740435062,0
0-100,ARMA_1_0,17.3634427024,0
0-100,ARMA_2_1,17.245998045,0
0-100,ARMA_2_3,17.047053106,0
101-200,ARIMA_1_0_0,22.5339399456,0
101-200,ARIMA_2_0_0,22.4588904583,0
101-200,ARIMA_3_0_0,22.3381473005,0
101-200,ARIMA_3_0_2,22.2265031795,0
101-200,ARIMA_2_0_2,22.197084149,0
101-200,ARIMA_0_0_1,24.8260161621,0
101-200,ARIMA_3_0_3,21.4310475468,0
101-200,ARIMA_1_0_6,21.0495918463,1
101-200,ARMA_3_0,22.3381473005,0
101-200,ARMA_2_0,22.4588904583,0
101-200,ARMA_1_0,22.5339399456,0
101-200,ARMA_2_1,22.3236444049,0
201-300,ARIMA_1_0_0,27.3954295271,0
201-300,ARIMA_2_0_0,27.4991512962,0
201-300,ARIMA_3_0_0,27.332682781,0
201-300,ARIMA_2_0_2,27.1498710576,0
201-300,ARIMA_0_0_1,28.8246752939,0
201-300,ARIMA_3_0_3,24.5449962535,1
201-300,ARIMA_1_0_3,25.9836490335,0
201-300,ARMA_3_0,27.332682781,0
201-300,ARMA_2_0,27.4991512962,0
201-300,ARMA_1_0,27.3954295271,0
201-300,ARMA_2_1,27.4664670391,0
201-300,ARMA_2_3,24.8275406853,0
301-400,ARIMA_1_0_0,34.6846190751,0
301-400,ARIMA_2_0_0,33.7265216702,0
301-400,ARIMA_3_0_0,34.105332947,0
301-400,ARIMA_3_0_2,34.9434213763,0
301-400,ARIMA_2_0_2,33.6365831049,1
301-400,ARIMA_0_0_1,42.2137248551,0
301-400,ARIMA_1_0_3,34.1711054036,0
301-400,ARMA_3_0,34.105332947,0
301-400,ARMA_2_0,33.7265216702,0
301-400,ARMA_1_0,34.6846190751,0
301-400,ARMA_2_1,33.6821202259,0
301-400,ARMA_2_3,34.1007304493,0
401-500,ARIMA_1_0_0,34.8335217105,0
401-500,ARIMA_2_0_0,34.8589979597,0
401-500,ARIMA_3_0_0,33.9550602725,1
401-500,ARIMA_0_0_1,34.8384585439,0
401-500,ARMA_3_0,33.9550602725,0
401-500,ARMA_2_0,34.8589979597,0
401-500,ARMA_1_0,34.8335217105,0
401-500,ARMA_2_1,34.7373843778,0
501-600,ARIMA_1_0_0,25.2638795143,0
501-600,ARIMA_2_0_0,24.5730898636,0
501-600,ARIMA_3_0_0,24.5563806901,0
501-600,ARIMA_0_0_1,28.2361064035,0
501-600,ARMA_3_0,24.5563806901,0
501-600,ARMA_2_0,24.5730898636,0
501-600,ARMA_1_0,25.2638795143,0
501-600,ARMA_2_1,24.53939679,0
501-600,ARMA_2_3,23.8534725432,1
601-700,ARIMA_1_0_0,27.7671651479,0
601-700,ARIMA_2_0_0,27.4453863741,0
601-700,ARIMA_3_0_0,28.3738232377,0
601-700,ARIMA_3_0_2,27.2930339824,0
601-700,ARIMA_2_0_2,28.0101920166,0
601-700,ARIMA_0_0_1,36.8186015369,0
601-700,ARIMA_3_0_3,26.9169160807,0
601-700,ARIMA_1_0_6,26.7122918688,1
601-700,ARIMA_1_0_3,27.5950851684,0
601-700,ARMA_3_0,28.3738232377,0
601-700,ARMA_2_0,27.4453863741,0
601-700,ARMA_1_0,27.7671651479,0
601-700,ARMA_2_1,27.7483182746,0
601-700,ARMA_2_3,27.1223476841,0
701-800,ARIMA_1_0_0,19.61105633,0
701-800,ARIMA_2_0_0,19.6250558106,0
701-800,ARIMA_3_0_0,18.9029659241,0
701-800,ARIMA_3_0_2,18.2132577664,1
701-800,ARIMA_2_0_2,18.8525069434,0
