feature,model,MAE,model_selected
TCP,ARIMA_1_0_0,4.18440654863,0
TCP,ARIMA_2_0_0,3.72671617282,0
TCP,ARIMA_3_0_0,3.76170433868,0
TCP,ARIMA_3_0_2,3.68878216555,0
TCP,ARIMA_2_0_2,3.67380993028,0
TCP,ARIMA_0_0_1,4.4879954688,0
TCP,ARIMA_3_0_3,3.72307377167,0
TCP,ARIMA_1_0_6,3.56584512146,1
TCP,ARIMA_1_0_3,3.70609547531,0
TCP,ARMA_3_0,3.76170433868,0
TCP,ARMA_2_0,3.72671617282,0
TCP,ARMA_1_0,4.18440654863,0
TCP,ARMA_2_1,3.7692854825,0
TCP,ARMA_2_3,3.68492887185,0
ESP,ARIMA_1_0_0,201.116865182,0
ESP,ARIMA_2_0_0,191.843520195,0
ESP,ARIMA_3_0_0,180.649193425,0
ESP,ARIMA_3_0_2,176.956788273,0
ESP,ARIMA_0_0_1,204.352793853,0
ESP,ARIMA_3_0_3,162.204523169,1
ESP,ARMA_3_0,180.649193425,0
ESP,ARMA_2_0,191.843520195,0
ESP,ARMA_1_0,201.116865182,0
ESP,ARMA_2_1,181.738157309,0
GRE,ARIMA_1_0_0,inf,1
GRE,ARIMA_2_0_0,inf,0
GRE,ARIMA_3_0_0,inf,0
GRE,ARIMA_3_0_2,inf,0
GRE,ARIMA_2_0_2,inf,0
GRE,ARIMA_0_0_1,inf,0
GRE,ARIMA_3_0_3,inf,0
GRE,ARIMA_1_0_6,inf,0
GRE,ARIMA_1_0_3,inf,0
GRE,ARMA_3_0,inf,0
GRE,ARMA_2_0,inf,0
GRE,ARMA_1_0,inf,0
GRE,ARMA_2_1,inf,0
GRE,ARMA_2_3,inf,0
ICMP,ARIMA_1_0_0,79.8643019886,0
ICMP,ARIMA_2_0_0,79.3230690927,0
ICMP,ARIMA_3_0_0,79.2633979622,1
ICMP,ARIMA_3_0_2,79.4374241845,0
ICMP,ARIMA_0_0_1,79.888010068,0
ICMP,ARMA_3_0,79.2633979622,0
ICMP,ARMA_2_0,79.3230690927,0
ICMP,ARMA_1_0,79.8643019886,0
ICMP,ARMA_2_1,79.3042143877,0
UDP,ARIMA_1_0_0,26.8011970081,0
UDP,ARIMA_2_0_0,24.1453010788,0
UDP,ARIMA_3_0_0,24.0757594266,0
UDP,ARIMA_3_0_2,24.1339395965,0
UDP,ARIMA_2_0_2,23.6064369803,0
UDP,ARIMA_0_0_1,29.7228273091,0
UDP,ARIMA_3_0_3,24.7299775937,0
UDP,ARIMA_1_0_6,22.8090956795,1
UDP,ARMA_3_0,24.0757594266,0
UDP,ARMA_2_0,24.1453010788,0
UDP,ARMA_1_0,26.8011970081,0
UDP,ARMA_2_1,24.0226455431,0
UDP,ARMA_2_3,23.5908177577,0
unknown,ARIMA_1_0_0,inf,1
unknown,ARIMA_2_0_0,inf,0
unknown,ARIMA_3_0_0,inf,0
unknown,ARIMA_3_0_2,inf,0
unknown,ARIMA_2_0_2,inf,0
unknown,ARIMA_0_0_1,inf,0
unknown,ARIMA_3_0_3,inf,0
unknown,ARMA_3_0,inf,0
unknown,ARMA_2_0,inf,0
unknown,ARMA_1_0,inf,0
unknown,ARMA_2_1,inf,0
unknown,ARMA_2_3,inf,0
ENCAP,ARIMA_1_0_0,inf,1
ENCAP,ARIMA_2_0_0,inf,0
ENCAP,ARIMA_0_0_1,inf,0
ENCAP,ARIMA_1_0_3,inf,0
ENCAP,ARMA_2_0,inf,0
ENCAP,ARMA_1_0,inf,0
Compaq-Peer,ARIMA_1_0_0,inf,1
Compaq-Peer,ARIMA_2_0_0,inf,0
Compaq-Peer,ARIMA_0_0_1,inf,0
Compaq-Peer,ARMA_2_0,inf,0
Compaq-Peer,ARMA_1_0,inf,0
