Protocol,Percentage
TCP,85.0375131039
UDP,14.0053568367
ICMP,0.39218878292
ESP,0.3206577994
GRE,0.130349095581
ENCAP,0.0675512319109
unknown,0.0130849495173
Compaq-Peer,0.0104192372163
IPv6,0.00921488049072
AH,0.00618921794738
RSVP,0.00372959724781
ETHERIP,0.00134243945302
PNNI,0.000480576241952
IPv4,0.000265812207821
DCCP,8.7333174192e-05
HIP,8.71207235316e-05
A/N,6.88489988705e-05
EMCON,6.35521572106e-05
IRTP,6.33215477389e-05
IPLT,6.32921178708e-05
NARP,6.32831500079e-05
MUX,6.32831500079e-05
XTP,6.32831500079e-05
ST,6.32831500079e-05
DSR,6.32831500079e-05
CRTP,6.32153224088e-05
UDPLite,6.32153224088e-05
Sprite-RPC,6.31858925406e-05
STP,5.63269935171e-05
IPComp,5.63269935171e-05
IFMP,3.90815829688e-05
SNP,3.49134124954e-05
IPCV,3.23627326579e-05
VRRP,3.23537647951e-05
I-NLSP,3.22859371959e-05
NSFNET-IGP,3.22859371959e-05
IGP,3.22565073277e-05
WSN,3.22565073277e-05
VMTP,2.40646645698e-05
OSPFIGP,2.40116264531e-05
DCN-MEAS,2.40116264531e-05
MFE-NSP,2.39732287221e-05
PRM,2.39732287221e-05
MICP (deprecated),2.39732287221e-05
GMTP,2.39732287221e-05
SKIP,2.13646510747e-05
HOPOPT,1.55057780393e-05
SCPS,1.36502206125e-05
ISO-TP4,1.2184126442e-05
AX.25,1.2184126442e-05
BNA,1.2145728711e-05
VISA,1.2145728711e-05
IPTM,1.2145728711e-05
FC,1.2145728711e-05
RDP,1.2145728711e-05
MERIT-INP,1.20926905943e-05
MTP,9.16726076251e-06
SCC-SP,6.11266322523e-06
IGMP,1.97412604052e-06
ARIS,7.9565011969e-07
XNS-IDP,4.38916291799e-07
manet,3.45579579022e-07
PIM,2.38695035907e-07
Shim6,1.15193193008e-07
BBN-RCC-MON,7.67954620051e-08
IDPR,7.67954620051e-08
LEAF-2,7.67954620051e-08
LARP,7.67954620051e-08
IPPC,7.67954620051e-08
ISIS over IPv4,7.67954620051e-08
RSVP-E2E-IGNORE,7.67954620051e-08
EIGRP,7.67954620051e-08
IDRP,7.67954620051e-08
QNX,7.67954620051e-08
SWIPE (deprecated),7.278884273e-08
SECURE-VMTP,3.83977310025e-08
SCTP,3.83977310025e-08
TP++,3.83977310025e-08
DDP,3.83977310025e-08
VINES,3.83977310025e-08
IPIP,3.83977310025e-08
SDRP,3.83977310025e-08
SPS,3.83977310025e-08
CPHB,3.83977310025e-08
LEAF-1,3.83977310025e-08
TLSP,3.83977310025e-08
SSCOPMCE,3.83977310025e-08
TRUNK-2,3.83977310025e-08
BR-SAT-MON,3.83977310025e-08
TCF,3.83977310025e-08
ARGUS (deprecated),3.83977310025e-08
IPv6-Route,3.83977310025e-08
MPLS-in-IP,3.83977310025e-08
EGP,3.83977310025e-08
TTP,3.83977310025e-08
